name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Powerboat Racing 3D,Racing,Doodle Mobile Ltd.,"10,000,000 - 50,000,000",1 July 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
Fast Racing 3D,Racing,Doodle Mobile Ltd.,"100,000,000 - 500,000,000",19 June 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Driving in Car,Racing,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",29 June 2016,Rated for 12+,3.9,4 (3.1 - 4.0)
Tank Strike 3D - War Machines,Action,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",15 July 2016,Rated for 16+,3.9,4 (3.1 - 4.0)
Counter Shot,Action,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",31 October 2016,Rated for 16+,4.2,5 (4.1 - 5.0)
Infinity Sword,Action,Doodle Mobile Ltd.,"500,000 - 1,000,000",10 January 2017,Rated for 16+,4.1,5 (4.1 - 5.0)
War of Empires - The Mist,Action,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",2 November 2015,Rated for 7+,4.3,5 (4.1 - 5.0)
Find Objects,Puzzle,Doodle Mobile Ltd.,"5,000,000 - 10,000,000",22 November 2013,Rated for 3+,4.1,5 (4.1 - 5.0)
Dino Island,Action,Doodle Mobile Ltd.,"5,000,000 - 10,000,000",27 October 2014,Rated for 3+,4.4,5 (4.1 - 5.0)
Star City,Arcade,Doodle Mobile Ltd.,"10,000 - 50,000",9 January 2017,Rated for 3+,4.3,5 (4.1 - 5.0)
Baseball Hero,Sports,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",19 May 2013,Rated for 3+,4.1,5 (4.1 - 5.0)
Hero of Legends,Arcade,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",7 January 2015,Rated for 12+,4.2,5 (4.1 - 5.0)
Piano Dance Beat,Arcade,Doodle Mobile Ltd.,"500,000 - 1,000,000",21 August 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Doodle Face,Arcade,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",15 September 2015,Rated for 3+,4.5,5 (4.1 - 5.0)
Smashy Olympus,Action,Doodle Mobile Ltd.,"50,000 - 100,000",15 August 2016,Rated for 7+,4.3,5 (4.1 - 5.0)
Monster Crush,Casual,Doodle Mobile Ltd.,"1,000,000 - 5,000,000",4 November 2014,Rated for 3+,4.3,5 (4.1 - 5.0)
Gun Shot Fire War,Action,LuGame,"5,000,000 - 10,000,000",26 September 2016,Rated for 12+,4.1,5 (4.1 - 5.0)
Gun Strike Shoot,Action,D3.,"5,000,000 - 10,000,000",29 August 2016,Rated for 16+,4.0,4 (3.1 - 4.0)
Guns,Action,Calford,"50,000,000 - 100,000,000",13 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Sniper Shoot War 3D,Action,WAWOO Studio,"10,000,000 - 50,000,000",27 December 2016,Rated for 16+,4.0,4 (3.1 - 4.0)
Tank Shoot War,Action,WAWOO Studio,"1,000,000 - 5,000,000",19 September 2016,Rated for 12+,3.8,4 (3.1 - 4.0)
Gun Shot Striker,Action,WAWOO Studio,"500,000 - 1,000,000",2 September 2016,Rated for 16+,4.1,5 (4.1 - 5.0)
Gun Striker War - Free FPS,Action,WAWOO Studio,"50,000 - 100,000",26 October 2016,Rated for 16+,3.8,4 (3.1 - 4.0)
Project Eagle 3D,Action,WAWOO Studio,"100,000 - 500,000",12 June 2015,Rated for 3+,3.7,4 (3.1 - 4.0)
Smash Bottle 3D,Casual,WAWOO Studio,"10,000 - 50,000",12 June 2015,Rated for 3+,3.2,4 (3.1 - 4.0)
Hexagon Track Racing,Action,WAWOO Studio,"10,000 - 50,000",12 June 2015,Rated for 3+,3.7,4 (3.1 - 4.0)
Flight & Shoot 3D,Action,WAWOO Studio,"100,000 - 500,000",12 June 2015,Rated for 3+,3.6,4 (3.1 - 4.0)
